vacancy_link,vacancy_title,vacancy_salary,experience,company,location,unique
"https://spb.hh.ru/vacancy/101260285","IOS Developer","350 000 – 410 000 ₽ до вычета налогов","Опыт 3-6 лет","HR Prime","Москва","1"
"https://spb.hh.ru/vacancy/100562515","IOS разработчик","80 000 – 110 000 ₽ на руки","Опыт 1-3 года","ООО Суши-Маркет","Омск","1"
"https://spb.hh.ru/vacancy/85932776","Middle iOS developer",150 000 – 250 000 ₽ на руки","Опыт 1-3 года","Bip.ru","Москва","1"
"https://spb.hh.ru/vacancy/100718683","IOS Developer (Senior)","250 000 – 320 000 ₽ на руки","Опыт 3-6 лет","Effective","Москва","1"
"https://spb.hh.ru/vacancy/86660055","Senior iOS developer","250 000 – 350 000 ₽ на руки","Опыт 3-6 лет","Bip.ru","Москва","1"
"https://spb.hh.ru/vacancy/102131519","IOS разработчик (Junior)","от 60 000 ₽ на руки","Без опыта","Фонд Я в Помощь","Москва","1"
"https://spb.hh.ru/vacancy/102862561","Разработчик Swift / Flutter / React Native (iOS мобильные приложения)","от 80 000 ₽ на руки","Опыт 1-3 года","Силантьев Олег Игоревич","Санкт-Петербург","1"
"https://spb.hh.ru/vacancy/101351820", "IOS Developer (офис Челябинск)","до 300 000 ₽ на руки","Опыт 3-6 лет","ИТ-ЛИНК","Челябинск","2"
"https://spb.hh.ru/vacancy/102489040","Senior iOS Developer","от 370 000 ₽ на руки","Опыт 3-6 лет","Radium Finance","Москва","1"
"https://spb.hh.ru/vacancy/101020118","Middle/Senior iOS разработчик","120 000 – 250 000 ₽ на руки","Опыт 3-6 лет","FullStack","Новосибирск","1"
"https://spb.hh.ru/vacancy/100963789","IOS Developer","до 300 000 ₽ на руки","Опыт 3-6 лет","ИТ-ЛИНК","Екатеринбург","1"
"https://spb.hh.ru/vacancy/102154890","Senior IOS - разработчик","200 000 – 400 000 ₽ до вычета налогов","Опыт 3-6 лет","Volna.tech","Москва","1"
"https://spb.hh.ru/vacancy/80868891","IOS разработчик (Swift)","80 000 – 170 000 ₽ на руки","Опыт 1-3 года","InlyIT","Новосибирск","4"
"https://spb.hh.ru/vacancy/102431611","IOS разработчик","250 000 – 300 000 ₽ до вычета налогов","Опыт 3-6 лет","USETECH","Москва","1"
"https://spb.hh.ru/vacancy/67980553","IOS-разработчик","от 120 000 ₽ на руки","Опыт 1-3 года","ООО Дата Ист","Новосибирск","1"
"https://spb.hh.ru/vacancy/102295123","IOS разработчик (middle/senior)","200 000 – 350 000 ₽ на руки","Опыт 3-6 лет","ООО А17","Москва","1"
"https://spb.hh.ru/vacancy/80868893","IOS разработчик (Swift)","80 000 – 170 000 ₽ на руки","Опыт 1-3 года","InlyIT","Томск","3"
"https://spb.hh.ru/vacancy/97029025","IOS разработчик","400 000 – 400 000 ₽ на руки","Опыт 3-6 лет","EPAM","Москва","1"
